OBE;;;TPP;;webMethods Shared Third Party Jars
OBE;;;TPS;;webMethods Shared Third Party Bundles
OBE;;;WIS;;webMethods Installer Shared Tools
OBE;;;WSC;;webMethods Shared Components
ODE;;;AIC;;Software AG Installer Always Installed Components
ODE;;;CTP;;Software AG Runtime
ODE;;;DDJ;;DataDirect Connect for JDBC
ODE;;;SIN;;Security Infrastructure
ODE;;;WIS;;webMethods Installer Shared Tools
OGI;;;SSX;;Software AG Security eXtensions
OGI;;;AIC;;Software AG Installer Always Installed Components
OGI;;;MIG;;webMethods Migration Framework
OGI;;;SIN;;Security Infrastructure
OGI;;;TPS;;webMethods Shared Third Party Bundles
OGI;;;WIS;;webMethods Installer Shared Tools
OGI;;;WSC;;webMethods Shared Components
OTN;;;EDA;;Event Routing
OTN;;;AIC;;Software AG Installer Always Installed Components
OTN;;;MWS;;My webMethods Server
OTN;;;PIE;;webMethods Integration Server
OTN;;;SPM;;webMethods Platform Manager
OTN;;;TNS;;webMethods Trading Networks Server
OTN;;;TPS;;webMethods Shared Third Party Bundles
PAD;;;WIS;;webMethods Installer Shared Tools
PAD;;;PAM;;Apama
PAD;;;ZAD;;Zementis Server
PAD;;;DOC;;Third-party Product Documentation
PAF;;;PAM;;Apama
PAF;;;AIC;;Software AG Installer Always Installed Components
PAF;;;DOC;;Third-party Product Documentation
PAF;;;SDF;;Software AG Designer
PAF;;;WIS;;webMethods Installer Shared Tools
PAJ;;;SDF;;Software AG Designer
PAJ;;;TPP;;webMethods Shared Third Party Jars
PAJ;;;DEV;;Software AG Digital Event Services
PAJ;;;NUM;;Software AG Universal Messaging
PAJ;;;PAK;;Apama Core Community Edition
PAJ;;;TSC;;Terracotta DB TC Store Client
PAJ;;;DEV;;Software AG Digital Event Services
PAJ;;;NUM;;Software AG Universal Messaging
PAJ;;;PAK;;Apama Core Community Edition
PAJ;;;TSC;;Terracotta DB TC Store Client
PAK;;;PAZ;;Apama Bundle
PAM;;;PAK;;Apama Core Community Edition
PAM;;;TPP;;webMethods Shared Third Party Jars
PAM;;;DEV;;Software AG Digital Event Services
PAM;;;PAZ;;Apama Bundle
PAM;;;TSC;;Terracotta DB TC Store Client
PAM;;;AIC;;Software AG Installer Always Installed Components
PAM;;;DOC;;Third-party Product Documentation
PAM;;;SDF;;Software AG Designer
PAM;;;WIS;;webMethods Installer Shared Tools
PAN;;;DEV;;Software AG Digital Event Services
PAN;;;PAM;;Apama
PAN;;;PAZ;;Apama Bundle
PAN;;;AIC;;Software AG Installer Always Installed Components
PAN;;;DOC;;Third-party Product Documentation
PAN;;;SDF;;Software AG Designer
PAN;;;WIS;;webMethods Installer Shared Tools
PAX;;;WIS;;webMethods Installer Shared Tools
PAX;;;DOC;;Third-party Product Documentation
PAX;;;PAF;;Apama Capital Markets Foundation
PAX;;;PAM;;Apama
PAX;;;AIC;;Software AG Installer Always Installed Components
PFC;;;TPS;;webMethods Shared Third Party Bundles
PFC;;;TPP;;webMethods Shared Third Party Jars
PFC;;;AIC;;Software AG Installer Always Installed Components
PIE;;;DEV;;Software AG Digital Event Services
PIE;;;EDA;;Event Routing
PIE;;;AIC;;Software AG Installer Always Installed Components
PIE;;;DDJ;;DataDirect Connect for JDBC
PIE;;;DOC;;Third-party Product Documentation
PIE;;;MIG;;webMethods Migration Framework
PIE;;;OGI;;OSGi Platform
PIE;;;SIN;;Security Infrastructure
PIE;;;SPM;;webMethods Platform Manager
PIE;;;TPP;;webMethods Shared Third Party Jars
PIE;;;TPS;;webMethods Shared Third Party Bundles
PIE;;;WED;;webMethods Service Development
PIE;;;WSC;;webMethods Shared Components
PIE;;;WSS;;Web Services Stack
PLD;;;AIC;;Software AG Installer Always Installed Components
PLD;;;DOC;;Third-party Product Documentation
PLD;;;SDF;;Software AG Designer
PLD;;;WED;;webMethods Service Development
PLD;;;WEL;;Local Service Development
PLS;;;AIC;;Software AG Installer Always Installed Components
PLS;;;CTP;;Software AG Runtime
PLS;;;DOC;;Third-party Product Documentation
PLS;;;MWS;;My webMethods Server
PLS;;;OGI;;OSGi Platform
PLS;;;PIE;;webMethods Integration Server
PLS;;;SPM;;webMethods Platform Manager
PLS;;;TPS;;webMethods Shared Third Party Bundles
PLS;;;WSS;;Web Services Stack
PWB;;;DOC;;Third-party Product Documentation
PWB;;;PAX;;Apama Base FIX Adapter
PWB;;;PAF;;Apama Capital Markets Foundation
PWB;;;PAM;;Apama
PWD;;;PAX;;Apama Base FIX Adapter
PWD;;;DOC;;Third-party Product Documentation
PWD;;;PAF;;Apama Capital Markets Foundation
PWD;;;PAM;;Apama
PWD;;;AIC;;Software AG Installer Always Installed Components
PWF;;;PAX;;Apama Base FIX Adapter
PWF;;;DOC;;Third-party Product Documentation
PWF;;;PAF;;Apama Capital Markets Foundation
PWF;;;PAM;;Apama
PWF;;;AIC;;Software AG Installer Always Installed Components
PWM;;;DOC;;Third-party Product Documentation
PWM;;;PAF;;Apama Capital Markets Foundation
PWM;;;PAX;;Apama Base FIX Adapter
PWM;;;PAM;;Apama
PWM;;;AIC;;Software AG Installer Always Installed Components
PWZ;;;PAX;;Apama Base FIX Adapter
PWZ;;;DOC;;Third-party Product Documentation
PWZ;;;PAF;;Apama Capital Markets Foundation
PWZ;;;PAM;;Apama
PWZ;;;AIC;;Software AG Installer Always Installed Components
PYA;;;PAX;;Apama Base FIX Adapter
PYA;;;DOC;;Third-party Product Documentation
PYA;;;PAF;;Apama Capital Markets Foundation
PYA;;;PAM;;Apama
PYA;;;AIC;;Software AG Installer Always Installed Components
PYB;;;PAF;;Apama Capital Markets Foundation
PYB;;;PAX;;Apama Base FIX Adapter
PYB;;;DOC;;Third-party Product Documentation
PYB;;;PAM;;Apama
PYB;;;AIC;;Software AG Installer Always Installed Components
PYJ;;;DOC;;Third-party Product Documentation
PYJ;;;PAX;;Apama Base FIX Adapter
PYJ;;;PAF;;Apama Capital Markets Foundation
PYJ;;;PAM;;Apama
PYJ;;;AIC;;Software AG Installer Always Installed Components
PYM;;;DOC;;Third-party Product Documentation
PYM;;;PAF;;Apama Capital Markets Foundation
PYM;;;PAX;;Apama Base FIX Adapter
PYM;;;PAM;;Apama
PYM;;;AIC;;Software AG Installer Always Installed Components
PYO;;;PAX;;Apama Base FIX Adapter
PYO;;;DOC;;Third-party Product Documentation
PYO;;;PAF;;Apama Capital Markets Foundation
PYO;;;PAM;;Apama
PYO;;;AIC;;Software AG Installer Always Installed Components
PYT;;;PAX;;Apama Base FIX Adapter
PYT;;;DOC;;Third-party Product Documentation
PYT;;;PAF;;Apama Capital Markets Foundation
PYT;;;PAM;;Apama
PYT;;;AIC;;Software AG Installer Always Installed Components
PYX;;;DOC;;Third-party Product Documentation
PYX;;;PAF;;Apama Capital Markets Foundation
PYX;;;PAX;;Apama Base FIX Adapter
PYX;;;PAM;;Apama
PYX;;;AIC;;Software AG Installer Always Installed Components
PYZ;;;DOC;;Third-party Product Documentation
PYZ;;;PAX;;Apama Base FIX Adapter
PYZ;;;PAF;;Apama Capital Markets Foundation
PYZ;;;PAM;;Apama
PYZ;;;AIC;;Software AG Installer Always Installed Components
PZB;;;PAX;;Apama Base FIX Adapter
PZB;;;DOC;;Third-party Product Documentation
PZB;;;PAF;;Apama Capital Markets Foundation
PZB;;;PAM;;Apama
PZB;;;AIC;;Software AG Installer Always Installed Components
PZC;;;DOC;;Third-party Product Documentation
PZC;;;PAF;;Apama Capital Markets Foundation
PZC;;;PAX;;Apama Base FIX Adapter
PZC;;;PAM;;Apama
PZC;;;AIC;;Software AG Installer Always Installed Components
PZD;;;PAX;;Apama Base FIX Adapter
PZD;;;DOC;;Third-party Product Documentation
PZD;;;PAF;;Apama Capital Markets Foundation
PZD;;;PAM;;Apama
PZD;;;AIC;;Software AG Installer Always Installed Components
PZF;;;DOC;;Third-party Product Documentation
PZF;;;PAX;;Apama Base FIX Adapter
PZF;;;PAF;;Apama Capital Markets Foundation
PZF;;;PAM;;Apama
PZF;;;AIC;;Software AG Installer Always Installed Components
PZG;;;DOC;;Third-party Product Documentation
PZG;;;PAF;;Apama Capital Markets Foundation
PZG;;;PAX;;Apama Base FIX Adapter
PZG;;;PAM;;Apama
PZG;;;AIC;;Software AG Installer Always Installed Components
PZH;;;PAX;;Apama Base FIX Adapter
PZH;;;DOC;;Third-party Product Documentation
PZH;;;PAF;;Apama Capital Markets Foundation
PZH;;;PAM;;Apama
PZH;;;AIC;;Software AG Installer Always Installed Components
PZI;;;PAX;;Apama Base FIX Adapter
PZI;;;DOC;;Third-party Product Documentation
PZI;;;PAF;;Apama Capital Markets Foundation
PZI;;;PAM;;Apama
PZI;;;AIC;;Software AG Installer Always Installed Components
PZK;;;DOC;;Third-party Product Documentation
PZK;;;PAF;;Apama Capital Markets Foundation
PZK;;;PAX;;Apama Base FIX Adapter
PZK;;;PAM;;Apama
PZK;;;AIC;;Software AG Installer Always Installed Components
PZQ;;;DOC;;Third-party Product Documentation
PZQ;;;PAX;;Apama Base FIX Adapter
PZQ;;;PAF;;Apama Capital Markets Foundation
PZQ;;;PAM;;Apama
PZQ;;;AIC;;Software AG Installer Always Installed Components
PZR;;;DOC;;Third-party Product Documentation
PZR;;;PAF;;Apama Capital Markets Foundation
PZR;;;PYA;;Apama Reuters RFA Adapter
PZR;;;PAX;;Apama Base FIX Adapter
PZR;;;PAM;;Apama
PZR;;;AIC;;Software AG Installer Always Installed Components
PZU;;;DOC;;Third-party Product Documentation
PZU;;;PAF;;Apama Capital Markets Foundation
PZU;;;PAX;;Apama Base FIX Adapter
PZU;;;PAM;;Apama
PZU;;;AIC;;Software AG Installer Always Installed Components
PZX;;;DOC;;Third-party Product Documentation
PZX;;;PAF;;Apama Capital Markets Foundation
PZX;;;PAX;;Apama Base FIX Adapter
PZX;;;PAM;;Apama
PZX;;;AIC;;Software AG Installer Always Installed Components
PZY;;;PAX;;Apama Base FIX Adapter
PZY;;;DOC;;Third-party Product Documentation
PZY;;;PAF;;Apama Capital Markets Foundation
PZY;;;PAM;;Apama
PZY;;;AIC;;Software AG Installer Always Installed Components
PZZ;;;PAX;;Apama Base FIX Adapter
PZZ;;;DOC;;Third-party Product Documentation
PZZ;;;PAF;;Apama Capital Markets Foundation
PZZ;;;PAM;;Apama
PZZ;;;AIC;;Software AG Installer Always Installed Components
SBP;;;AIC;;Software AG Installer Always Installed Components
SBP;;;DOC;;Third-party Product Documentation
SBP;;;MWS;;My webMethods Server
SBP;;;WSC;;webMethods Shared Components
SDF;;;AIC;;Software AG Installer Always Installed Components
SDF;;;CPP;;Common PlugIn Package
SEC;;;AIC;;Software AG Installer Always Installed Components
SIN;;;AIC;;Software AG Installer Always Installed Components
SIN;;;TPS;;webMethods Shared Third Party Bundles
SPM;;;AIC;;Software AG Installer Always Installed Components
SPM;;;OGI;;OSGi Platform
SPM;;;SIN;;Security Infrastructure
SPM;;;TPS;;webMethods Shared Third Party Bundles
SPM;;;WIS;;webMethods Installer Shared Tools
SSL;;;AIC;;Software AG Installer Always Installed Components
SSX;;;AIC;;Software AG Installer Always Installed Components
SUM;;;WIR;;Software AG Installer
SUM;;;OGI;;OSGi Platform
TAB;;;AIC;;Software AG Installer Always Installed Components
TAB;;;TPP;;webMethods Shared Third Party Jars
TAW;;;AIC;;Software AG Installer Always Installed Components
TNS;;;EDA;;Event Routing
TNS;;;AIC;;Software AG Installer Always Installed Components
TNS;;;PIE;;webMethods Integration Server
TNS;;;SPM;;webMethods Platform Manager
TNS;;;TPS;;webMethods Shared Third Party Bundles
TNS;;;WSC;;webMethods Shared Components
TPP;;;AIC;;Software AG Installer Always Installed Components
TPS;;;AIC;;Software AG Installer Always Installed Components
TRL;;;OTN;;webMethods Trading Networks
TRL;;;MAG;;webMethods ActiveTransfer Agent
TRL;;;MAT;;webMethods ActiveTransfer Server
TRL;;;CCE;;Software AG Command Central
TRL;;;MAP;;webMethods ActiveTransfer Gateway
TRL;;;JBP;;Software AG MashZone NextGen
TRL;;;WST;;webMethods CloudStreams Server
TRL;;;NUM;;Software AG Universal Messaging
TRL;;;PIE;;webMethods Integration Server
TRL;;;YAP;;webMethods API Portal
TRL;;;YAI;;webMethods API Gateway
TRL;;;TDB;;Terracotta DB
VAN;;;TAE;;Terracotta Enterprise Ehcache
VAN;;;TAE;;Terracotta Enterprise Ehcache
WAR;;;EDA;;Event Routing
WAR;;;AIC;;Software AG Installer Always Installed Components
WAR;;;PIE;;webMethods Integration Server
WAR;;;SPM;;webMethods Platform Manager
WAR;;;TPS;;webMethods Shared Third Party Bundles
WCD;;;AIC;;Software AG Installer Always Installed Components
WCD;;;SDF;;Software AG Designer
WCD;;;WED;;webMethods Service Development
WCD;;;WEL;;Local Service Development
WDA;;;AIC;;Software AG Installer Always Installed Components
WDA;;;DDJ;;DataDirect Connect for JDBC
WDA;;;WSC;;webMethods Shared Components
WDY;;;AIC;;Software AG Installer Always Installed Components
WDY;;;DOC;;Third-party Product Documentation
WDY;;;LAR;;Common Landscape Asset Registry
WDY;;;SIN;;Security Infrastructure
WDY;;;TPS;;webMethods Shared Third Party Bundles
WDY;;;WSS;;Web Services Stack
WEL;;;AIC;;Software AG Installer Always Installed Components
WEL;;;WED;;webMethods Service Development
WFF;;;AIC;;Software AG Installer Always Installed Components
WFF;;;PIE;;webMethods Integration Server
WGL;;;AIC;;Software AG Installer Always Installed Components
WGL;;;TPS;;webMethods Shared Third Party Bundles
WID;;;CMP;;Common Monitoring Provider
WID;;;AIC;;Software AG Installer Always Installed Components
WID;;;OGI;;OSGi Platform
WID;;;TPS;;webMethods Shared Third Party Bundles
WID;;;WSC;;webMethods Shared Components
WIS;;;AIC;;Software AG Installer Always Installed Components
WIS;;;OGI;;OSGi Platform
WIS;;;TPS;;webMethods Shared Third Party Bundles
WMC;;;AIC;;Software AG Installer Always Installed Components
WMC;;;DDJ;;DataDirect Connect for JDBC
WMC;;;SDF;;Software AG Designer
WMC;;;TPP;;webMethods Shared Third Party Jars
WMC;;;WSC;;webMethods Shared Components
WMD;;;AIC;;Software AG Installer Always Installed Components
WMD;;;DDJ;;DataDirect Connect for JDBC
